data_size,time1,time2
1000,0.065648014,0.039199065
2000,0.069656621,0.019019551
3000,0.055331149,0.012932865
4000,0.063893276,0.041509873
5000,0.055708843,0.035118296
6000,0.068853592,0.015905341
7000,0.075435264,0.035140255
8000,0.07116649,0.050317307
9000,0.067750007,0.010311384
10000,0.080343662,0.037543209
11000,0.085702179,0.05301269
12000,0.069619413,0.048526547
13000,0.077631915,0.040534728
14000,0.095013744,0.034792324
15000,0.093049423,0.024597542
16000,0.1048917,0.031171943
17000,0.08836223,0.061926737
18000,0.098523184,0.032371632
19000,0.096605236,0.031729479
20000,0.10136084,0.047205235
21000,0.09461256,0.05770179
22000,0.117831372,0.078759971
23000,0.116810015,0.048772072
24000,0.119478132,0.05915716
25000,0.12597113,0.066246318
26000,0.126245066,0.088243876
27000,0.123090077,0.068404958
28000,0.125460523,0.093798686
29000,0.13737119,0.080994866
30000,0.134374905,0.073828458
31000,0.128133116,0.085607972
32000,0.124874994,0.095307088
33000,0.130385586,0.095525471
34000,0.130380676,0.085963032
35000,0.155743987,0.107132072
36000,0.158169535,0.114690355
37000,0.132158273,0.10991633
38000,0.140708197,0.091682051
39000,0.141460056,0.119528216
40000,0.15395291,0.123796129
41000,0.168009162,0.13839029
42000,0.16547594,0.136756346
43000,0.148540418,0.10940774
44000,0.159416244,0.134987679
45000,0.16405371,0.137429782
46000,0.158813795,0.133605514
47000,0.17089868,0.145974554
48000,0.163959369,0.12647478
49000,0.169615484,0.154211824
50000,0.16731233,0.133117397
51000,0.166246669,0.172445236
52000,0.17785348,0.143568657
53000,0.194297783,0.155421894
54000,0.191990995,0.160433875
55000,0.187241991,0.189140639
56000,0.198082606,0.19609352
57000,0.195028801,0.177509619
58000,0.196305914,0.194057511
59000,0.201081468,0.193064451
60000,0.204930966,0.212831761
61000,0.212573033,0.210522102
62000,0.194882297,0.2244683
63000,0.214741559,0.220360326
64000,0.198583263,0.206619483
65000,0.216955203,0.209138347
66000,0.22166987,0.214656716
67000,0.208454488,0.218804086
68000,0.227907341,0.220286405
69000,0.221037456,0.228572264
70000,0.229015957,0.239998204
71000,0.231593202,0.257760157
72000,0.243074646,0.233513263
73000,0.226521207,0.258410372
74000,0.245408405,0.26835978
75000,0.244650117,0.282519775
76000,0.235315282,0.252491774
77000,0.258123453,0.263290367
78000,0.23575611,0.275902644
79000,0.239691406,0.304050735
80000,0.247614962,0.271267762
81000,0.253344735,0.307557487
82000,0.247861674,0.304554728
83000,0.252288395,0.308853969
84000,0.251743671,0.313222564
85000,0.260075848,0.331552675
86000,0.25758197,0.312134178
87000,0.271716991,0.306348799
88000,0.272973441,0.338233575
89000,0.265663943,0.353917551
90000,0.282806783,0.350010782
91000,0.281003148,0.345198091
92000,0.294542705,0.34702978
93000,0.292087005,0.347176338
94000,0.289782926,0.350704605
95000,0.303369339,0.356846589
96000,0.29241462,0.366561197
97000,0.304732981,0.390942861
98000,0.294270948,0.392521135
99000,0.298034819,0.393048036
100000,0.292075492,0.390026097
101000,0.298192793,0.393163797
102000,0.306422415,0.407679268
103000,0.315767161,0.423526562
104000,0.314792748,0.40497971
105000,0.311061664,0.430256494
106000,0.321315918,0.4443476
107000,0.307460181,0.447288889
108000,0.313172606,0.426264273
109000,0.316641283,0.422660612
110000,0.337107875,0.457553716
111000,0.343874172,0.444763849
112000,0.344159398,0.480274054
113000,0.326111937,0.458661324
114000,0.335320064,0.49049761
115000,0.330331972,0.500624451
116000,0.338253082,0.501724468
117000,0.352588673,0.486335408
118000,0.346519377,0.48308801
119000,0.343415971,0.518370417
120000,0.365643816,0.508039504
121000,0.366491022,0.498783827
122000,0.354626478,0.508575518
123000,0.353941172,0.535679368
124000,0.358398644,0.537819173
125000,0.370508577,0.559780729
126000,0.36477659,0.566048807
127000,0.370271748,0.567206786
128000,0.360955784,0.542689421
129000,0.377822496,0.570954356
130000,0.387278627,0.591542949
131000,0.389533827,0.580821592
132000,0.392412433,0.56418204
133000,0.387451326,0.590045643
134000,0.383251961,0.580574348
135000,0.38120274,0.607566107
136000,0.397237158,0.610840226
137000,0.400972269,0.614577525
138000,0.390783284,0.627678186
139000,0.410876791,0.63656335
140000,0.399030267,0.652004802
141000,0.417133178,0.657490129
142000,0.402307625,0.630872667
143000,0.412838524,0.675487373
144000,0.412642363,0.684119529
145000,0.405422147,0.657986735
146000,0.410875536,0.667709377
147000,0.431006015,0.687182835
148000,0.429697805,0.704270393
149000,0.437221015,0.688257935
150000,0.433432314,0.681125846
151000,0.441063584,0.692598439
152000,0.428552648,0.702978828
153000,0.43925751,0.705537892
154000,0.448561961,0.71836321
155000,0.444223381,0.757293794
156000,0.445516443,0.729399685
157000,0.455676355,0.751081443
158000,0.441145219,0.736532525
159000,0.454440165,0.780276027
160000,0.459992149,0.767673887
161000,0.445615638,0.758651516
162000,0.4534236,0.802980042
163000,0.456986124,0.792001527
164000,0.460376027,0.79088904
165000,0.459050991,0.791008797
166000,0.482904789,0.797676896
167000,0.478710869,0.837454086
168000,0.48310041,0.844976518
169000,0.487023196,0.852634535
170000,0.468987415,0.823615628
171000,0.480756176,0.868304432
172000,0.482635953,0.860456666
173000,0.482761998,0.872342667
174000,0.483593194,0.856282922
175000,0.492599534,0.87238887
176000,0.499133861,0.903573563
177000,0.492456944,0.894045344
178000,0.491814911,0.919343354
179000,0.50281493,0.927273947
180000,0.498871186,0.916565472
181000,0.510725044,0.926610066
182000,0.51224121,0.934369471
183000,0.502882114,0.918759851
184000,0.514765961,0.939318851
185000,0.513222199,0.940684175
186000,0.505961458,0.948447755
187000,0.515380334,0.967962398
188000,0.529276257,0.963218959
189000,0.51565139,0.9996705
190000,0.538597625,0.973199373
191000,0.528144275,0.97912549
192000,0.530924132,1.012403032
193000,0.542330427,1.035084736
194000,0.549055281,1.038102136
195000,0.534195055,1.029014053
196000,0.544497988,1.051302051
197000,0.542589615,1.044769032
198000,0.556982831,1.060762473
199000,0.546885948,1.06340366
200000,0.551459724,1.068667102
